date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:46:26	1444/1444	---M-Z	404	error ('Not%20Found')	text/html	etag:1619211373-ssl-df	https://www.davincicorps.com/robots.txt		(from )
13:46:27	118583/118583	---MCZ	200	added ('OK')	text/html	etag:%223a357501ac5d041dfe5848444012af34-ssl-df%22	https://www.davincicorps.com/	C:/My%20Web%20Sites/new/www.davincicorps.com/index.html	(from )
13:46:27	20258/20258	---M--	200	added ('OK')	image/png	etag:%220f6dc12b9333263f125b38664c16b53d-ssl%22	https://www.davincicorps.com/assets/img/favicon%20(1).png	C:/My%20Web%20Sites/new/www.davincicorps.com/assets/img/favicon%20(1).png	(from https://www.davincicorps.com/)
13:46:28	26053/26053	---MCZ	200	added ('OK')	text/css	etag:%22ee61feff93cef5568ebb39efb2ebe3a1-ssl-df%22	https://www.davincicorps.com/assets/vendor/aos/aos.css	C:/My%20Web%20Sites/new/www.davincicorps.com/assets/vendor/aos/aos.css	(from https://www.davincicorps.com/)
13:46:28	60859/60859	---MCZ	200	added ('OK')	text/css	etag:%22abc845681e283983c154f7a54bc20165-ssl-df%22	https://www.davincicorps.com/assets/vendor/bootstrap-icons/bootstrap-icons.css	C:/My%20Web%20Sites/new/www.davincicorps.com/assets/vendor/bootstrap-icons/bootstrap-icons.css	(from https://www.davincicorps.com/)
13:46:29	160302/160302	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:11%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css	C:/My%20Web%20Sites/new/maxcdn.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css	(from https://www.davincicorps.com/)
13:46:30	63235/63235	---MCZ	200	added ('OK')	text/css	etag:%22ad313ab15ddbfdc3c8703acf8ac889e5-ssl-df%22	https://www.davincicorps.com/assets/vendor/boxicons/css/boxicons.min.css	C:/My%20Web%20Sites/new/www.davincicorps.com/assets/vendor/boxicons/css/boxicons.min.css	(from https://www.davincicorps.com/)
13:46:30	13775/13775	---MCZ	200	added ('OK')	text/css	etag:%22c3aa5b37f27917a7e55a13985b3ee3e6-ssl-df%22	https://www.davincicorps.com/assets/vendor/glightbox/css/glightbox.min.css	C:/My%20Web%20Sites/new/www.davincicorps.com/assets/vendor/glightbox/css/glightbox.min.css	(from https://www.davincicorps.com/)
13:46:31	13920/13920	---MCZ	200	added ('OK')	text/css	etag:%22828049a6359e1c89d08b2f317070e701-ssl-df%22	https://www.davincicorps.com/assets/vendor/swiper/swiper-bundle.min.css	C:/My%20Web%20Sites/new/www.davincicorps.com/assets/vendor/swiper/swiper-bundle.min.css	(from https://www.davincicorps.com/)
13:46:31	1822/1822	---M-Z	200	added ('OK')	text/css	etag:%2215815d9a3f7e7cfb20f31cd21999ac5a-ssl-df%22	https://www.davincicorps.com/assets/vendor/floating-wpp/floating-wpp.min.css	C:/My%20Web%20Sites/new/www.davincicorps.com/assets/vendor/floating-wpp/floating-wpp.min.css	(from https://www.davincicorps.com/)
13:46:32	3465/3465	---MCZ	200	added ('OK')	text/css	etag:W/%2241f5ed798c9a379e8d1317e6c39941c3%22	https://assets.calendly.com/assets/external/widget.css	C:/My%20Web%20Sites/new/assets.calendly.com/assets/external/widget.css	(from https://www.davincicorps.com/)
13:46:32	45846/45846	---MCZ	200	added ('OK')	text/css	etag:%2211af8cf83995f39f32d16e2e956a3a16-ssl-df%22	https://www.davincicorps.com/assets/css/style.css	C:/My%20Web%20Sites/new/www.davincicorps.com/assets/css/style.css	(from https://www.davincicorps.com/)
13:46:33	118583/118583	---MCZ	200	added ('OK')	text/html	etag:%223a357501ac5d041dfe5848444012af34-ssl-df%22	https://www.davincicorps.com/index.html	C:/My%20Web%20Sites/new/www.davincicorps.com/index-2.html	(from https://www.davincicorps.com/)
13:46:33	21967/21967	---M--	200	added ('OK')	image/png	etag:%2263cd501dea3a2718544bff7ff7d9ac0c-ssl%22	https://www.davincicorps.com/assets/img/logof.png	C:/My%20Web%20Sites/new/www.davincicorps.com/assets/img/logof.png	(from https://www.davincicorps.com/)
13:46:34	7154/7154	---M--	200	added ('OK')	image/png	etag:%22b8be57f1b0d602e7ca0071c77423810c-ssl%22	https://www.davincicorps.com/assets/img/zoom2.png	C:/My%20Web%20Sites/new/www.davincicorps.com/assets/img/zoom2.png	(from https://www.davincicorps.com/)
13:46:35	2872/2872	---M--	200	added ('OK')	image/png	date:Tue,%2006%20Sep%202022%2014:12:04%20GMT	https://img.icons8.com/color/53/000000/whatsapp--v6.png	C:/My%20Web%20Sites/new/img.icons8.com/color/53/000000/whatsapp--v6.png	(from https://www.davincicorps.com/)
13:46:35	8082/8082	---M--	200	added ('OK')	image/png	etag:%22f6a69fa0f00afde22830ca142408e58c-ssl%22	https://www.davincicorps.com/assets/img/undraw_Bookmarks_re_mq1u.png	C:/My%20Web%20Sites/new/www.davincicorps.com/assets/img/undraw_Bookmarks_re_mq1u.png	(from https://www.davincicorps.com/)
13:46:36	8763/8763	---M--	200	added ('OK')	image/png	etag:%22d70df518dc048f3f3089d48bc3a5cb62-ssl%22	https://www.davincicorps.com/assets/img/undraw_Connected_re_lmq2.png	C:/My%20Web%20Sites/new/www.davincicorps.com/assets/img/undraw_Connected_re_lmq2.png	(from https://www.davincicorps.com/)
13:46:36	7738/7738	---M--	200	added ('OK')	image/png	etag:%22b473f689daee0e72cdc805335394b216-ssl%22	https://www.davincicorps.com/assets/img/undraw_Messaging_app_re_aytg.png	C:/My%20Web%20Sites/new/www.davincicorps.com/assets/img/undraw_Messaging_app_re_aytg.png	(from https://www.davincicorps.com/)
13:46:37	8666/8666	---M--	200	added ('OK')	image/png	etag:%222bd59c9a4038e9e795ff3c197e196f54-ssl%22	https://www.davincicorps.com/assets/img/undraw_Receipt_re_fre3.png	C:/My%20Web%20Sites/new/www.davincicorps.com/assets/img/undraw_Receipt_re_fre3.png	(from https://www.davincicorps.com/)
13:46:37	9103/9103	---M--	200	added ('OK')	image/png	etag:%22edbe44f10be30d6e2eed8e168c9ec2fc-ssl%22	https://www.davincicorps.com/assets/img/undraw_Metrics_re_6g90.png	C:/My%20Web%20Sites/new/www.davincicorps.com/assets/img/undraw_Metrics_re_6g90.png	(from https://www.davincicorps.com/)
13:46:38	11044/11044	---M--	200	added ('OK')	image/png	etag:%22f536b2b8316b4556c10becd9ea5b7a46-ssl%22	https://www.davincicorps.com/assets/img/undraw_Mobile_apps_re_3wjf%20(1).png	C:/My%20Web%20Sites/new/www.davincicorps.com/assets/img/undraw_Mobile_apps_re_3wjf%20(1).png	(from https://www.davincicorps.com/)
13:46:38	12208/12208	---M--	200	added ('OK')	image/png	etag:%22817b44d012ab57e34ff55438c9a849c7-ssl%22	https://www.davincicorps.com/assets/img/undraw_In_progress_re_m1l6.png	C:/My%20Web%20Sites/new/www.davincicorps.com/assets/img/undraw_In_progress_re_m1l6.png	(from https://www.davincicorps.com/)
13:46:39	29641/29641	---M--	200	added ('OK')	image/jpeg	etag:%22211644629f2a9541dc540156d6a9fa4b-ssl%22	https://www.davincicorps.com/assets/img/company/samsung.jpg	C:/My%20Web%20Sites/new/www.davincicorps.com/assets/img/company/samsung.jpg	(from https://www.davincicorps.com/)
13:46:39	28692/28692	---M--	200	added ('OK')	image/png	etag:%223ec5bbc1497e6729300d2a6a564e36da-ssl%22	https://www.davincicorps.com/assets/img/Amazon%20logo.png	C:/My%20Web%20Sites/new/www.davincicorps.com/assets/img/Amazon%20logo.png	(from https://www.davincicorps.com/)
13:46:40	3158/3158	---M--	200	added ('OK')	image/png	etag:%2210df0c69a0f5f3f37514b2ab9b982408-ssl%22	https://www.davincicorps.com/assets/img/unnamed.png	C:/My%20Web%20Sites/new/www.davincicorps.com/assets/img/unnamed.png	(from https://www.davincicorps.com/)
